"Date","Stock","Oil","EuroToDollar","Gold"
"2015-11-23",2089.40991210938,41.490002,0.9432,1124.7
"2015-11-24",2084.419921875,42.040001,0.9388,1131.6
"2015-11-25",2089.30004882812,42.689999,0.942,1128.4
"2015-11-27",2088.82006835938,43.25,0.9438,1114.5
"2015-11-30",2090.94995117188,41.77,0.9468,1123.9
"2015-12-01",2082.92993164062,41.73,0.9416,1122
"2015-12-02",2101.7099609375,41.689999,0.9458,1112.4
"2015-12-03",2080.7099609375,40.150002,0.9173,1120.6
"2015-12-04",2051.23999023438,41.310001,0.9188,1143.2
"2015-12-07",2090.419921875,40.099998,0.9225,1134.3
"2015-12-08",2073.38989257812,37.68,0.9195,1134
"2015-12-09",2061.169921875,37.860001,0.9104,1134.9
"2015-12-10",2047.93005371094,37.27,0.9134,1130.3
"2015-12-11",2047.27001953125,36.630001,0.9089,1133.8
"2015-12-14",2013.36999511719,35.400002,0.907,1121.4
"2015-12-15",2025.55004882812,36.32,0.9165,1119.8
"2015-12-16",2046.5,36.790001,0.9143,1135.3
"2015-12-17",2073.76000976562,35.799999,0.9256,1108.1
"2015-12-18",2040.81005859375,34.869999,0.9219,1123.3
"2015-12-21",2010.27001953125,34.580002,0.9158,1140.5
"2015-12-22",2023.15002441406,35.799999,0.9109,1134
"2015-12-23",2042.19995117188,36.470001,0.9195,1128.2
"2015-12-24",2063.52001953125,37.860001,0.9128,1135.9
"2015-12-28",2057.77001953125,38,0.9105,1128.1
"2015-12-29",2060.5400390625,36.700001,0.9161,1128.6
"2015-12-30",2077.34008789062,37.360001,0.9164,1120.8
"2015-12-31",2060.59008789062,36.810001,0.9209,1121
"2016-01-04",2038.19995117188,37.599998,0.9257,1135.5
"2016-01-05",2013.78002929688,36.900002,0.9308,1138.4
"2016-01-06",2011.7099609375,36.18,0.9292,1151.9
"2016-01-07",1985.31994628906,34.09,0.9208,1162.7
"2016-01-08",1945.96997070312,33.299999,0.9187,1151.7
"2016-01-11",1926.11999511719,32.939999,0.9193,1148.5
"2016-01-12",1927.82995605469,31.110001,0.9228,1137.1
"2016-01-13",1940.33996582031,30.540001,0.9206,1137.4
"2016-01-14",1891.68005371094,30.6,0.9206,1123
"2016-01-15",1916.68005371094,31.18,0.9121,1137.5
"2016-01-18",1916.68005371094,NA,NA,1090.2
"2016-01-19",1888.66003417969,29.200001,0.9169,1135.8
"2016-01-20",1876.18005371094,28.33,0.9168,1151.7
"2016-01-21",1861.4599609375,28.35,0.9231,1143.6
"2016-01-22",1877.40002441406,29.84,0.9247,1142.6
"2016-01-25",1906.28002929688,32.049999,0.9232,1152.4
"2016-01-26",1878.7900390625,29.809999,0.922,1167.3
"2016-01-27",1902.52001953125,30.549999,0.9202,1163.9
"2016-01-28",1885.21997070312,32.189999,0.9131,1163.7
"2016-01-29",1894,33.700001,0.9232,1161.9
"2016-02-01",1936.93994140625,33.830002,0.9184,1173.5
"2016-02-02",1935.26000976562,31.370001,0.9168,1170.1
"2016-02-03",1907.06994628906,29.75,0.9049,1183.3
"2016-02-04",1911.67004394531,32.709999,0.8929,1197.7
"2016-02-05",1913.06994628906,31.639999,0.8984,1220.4
"2016-02-08",1873.25,30.969999,0.8953,1243.8
"2016-02-09",1848.4599609375,30.17,0.885,1236.9
"2016-02-10",1857.09997558594,28.360001,0.8911,1232.6
"2016-02-11",1847,27.34,0.8801,1269
"2016-02-12",1833.40002441406,27.299999,0.8901,1271.2
"2016-02-15",1833.40002441406,NA,NA,1234
"2016-02-16",1871.43994140625,29.08,0.8977,1230
"2016-02-17",1898.80004882812,29.139999,0.8977,1247.2
"2016-02-18",1927.56994628906,31.35,0.9016,1262.5
"2016-02-19",1916.73999023438,30.6,0.8987,1267.4
"2016-02-22",1924.43994140625,29.719999,0.9076,1246
"2016-02-23",1942.38000488281,33.34,0.9078,1261.4
"2016-02-24",1917.56005859375,31.280001,0.9074,1277.1
